@id,@lon,@lat,name
170707126,21.4415273,41.9950812,
170707128,21.4395753,41.9949650,
170707129,21.4380920,41.9951106,
170707131,21.4376226,41.9952302,
170707133,21.4340191,41.9962501,
170707134,21.4332613,41.9964840,
170707136,21.4316827,41.9980345,
170707137,21.4311248,41.9987194,
170707138,21.4300159,42.0005955,
170707139,21.4293189,42.0018630,
170707140,21.4290383,42.0026273,
170707141,21.4289470,42.0032544,
170707145,21.4289243,42.0039346,
170707146,21.4286715,42.0056227,
170707147,21.4281806,42.0063837,
170707149,21.4276560,42.0069150,
170707150,21.4270168,42.0073482,
170707152,21.4257335,42.0078566,
170707154,21.4250765,42.0080258,
170707155,21.4245729,42.0081973,
170707157,21.4240944,42.0083873,
170707160,21.4234170,42.0088073,
170707161,21.4219907,42.0100356,
170707166,21.4192066,42.0125108,
170707168,21.4182436,42.0129333,
170707170,21.4174926,42.0131306,
170707172,21.4164868,42.0132701,
170707173,21.4156982,42.0132581,
170707175,21.4144751,42.0130787,
170707177,21.4136678,42.0126981,
170707179,21.4128169,42.0120916,
170707180,21.4116132,42.0115223,
170707182,21.4107013,42.0113808,
170707183,21.4099342,42.0114227,
170707185,21.4094433,42.0115382,
170707186,21.4084858,42.0118471,
170707187,21.4079440,42.0120205,
170707188,21.4066860,42.0123972,
170707189,21.4056480,42.0127200,
170707190,21.4049426,42.0129014,
170707192,21.4032689,42.0130787,
170707193,21.4024132,42.0130469,
170707194,21.4013028,42.0128954,
170707195,21.4002407,42.0125666,
170707196,21.3992482,42.0120185,
170707197,21.3983417,42.0113130,
170707199,21.3974034,42.0106235,
170707200,21.3964963,42.0101551,
170707201,21.3950291,42.0098442,
170707202,21.3944498,42.0098203,
170707203,21.3928038,42.0101002,
170707204,21.3912526,42.0105358,
170707205,21.3904640,42.0107849,
170707207,21.3899302,42.0110002,
170707208,21.3893053,42.0113190,
170707209,21.3883692,42.0118950,
170707210,21.3875002,42.0123792,
170707211,21.3865051,42.0127021,
170707212,21.3847911,42.0128037,
170707214,21.3843968,42.0127519,
170707216,21.3834071,42.0125028,
170709757,21.5013720,41.9767355,
170709760,21.5009254,41.9770097,
170709762,21.5004024,41.9774105,
170709765,21.5001342,41.9776857,
170709768,21.4995307,41.9787265,
170709770,21.4993593,41.9795915,
170709774,21.4991900,41.9804911,
170709775,21.4990640,41.9808739,
170709778,21.4988789,41.9812368,
170709780,21.4982164,41.9821041,
170709784,21.4974976,41.9826863,
170709787,21.4968726,41.9830871,
170709788,21.4963040,41.9833543,
170709789,21.4952794,41.9837112,
170709790,21.4948314,41.9838108,
170709795,21.4931524,41.9840700,
170709799,21.4927769,41.9841717,
170709801,21.4923772,41.9843292,
170709804,21.4918971,41.9846044,
170709806,21.4913821,41.9851048,
170709810,21.4908800,41.9857481,
170709812,21.4904460,41.9863389,
170709815,21.4898801,41.9868752,
170709816,21.4891157,41.9874314,
170709819,21.4884022,41.9878700,
170709820,21.4865246,41.9888170,
170709823,21.4852586,41.9894530,
170709828,21.4842260,41.9898198,
170709829,21.4828473,41.9902544,
170709830,21.4818442,41.9905315,
170709832,21.4806131,41.9906910,
170709834,21.4797306,41.9906890,
170709835,21.4785632,41.9906087,
170709837,21.4776191,41.9905967,
170709839,21.4767608,41.9906605,
170709841,21.4754916,41.9908501,
170709844,21.4733255,41.9913269,
170709845,21.4722902,41.9916638,
170709849,21.4713836,41.9920885,
170709850,21.4702249,41.9926945,
170709851,21.4692593,41.9932168,
170709852,21.4677411,41.9940740,
170709854,21.4672986,41.9942753,
170709858,21.4662820,41.9945404,
170709860,21.4654559,41.9946800,
170709861,21.4644441,41.9947432,
170709864,21.4632994,41.9944866,
170709867,21.4622319,41.9940919,
170709870,21.4615259,41.9935949,
170709873,21.4604804,41.9925749,
170709874,21.4598098,41.9918851,
170709877,21.4592305,41.9914007,
170709880,21.4585647,41.9909794,
170709882,21.4578760,41.9906850,
170709884,21.4568004,41.9905016,
170709885,21.4557517,41.9905714,
170709887,21.4551938,41.9906950,
170709888,21.4543590,41.9910432,
170709889,21.4531338,41.9917137,
170709891,21.4524123,41.9921503,
170709893,21.4517820,41.9927084,
170709897,21.4512235,41.9933119,
170709898,21.4509687,41.9936268,
170709900,21.4502820,41.9944242,
170709904,21.4496383,41.9949026,
170711443,21.4161317,42.0058949,
170711446,21.4218981,42.0028854,
170712177,21.4270437,42.0004584,
170712182,21.4264222,41.9997829,
170712184,21.4257087,41.9989620,
170714031,21.4219917,41.9914153,
170714036,21.4197373,41.9897676,
170715185,21.4175632,41.9877711,
170715187,21.4175351,41.9875257,
170715188,21.4175541,41.9869541,
170715190,21.4176295,41.9866610,
170715191,21.4178211,41.9862590,
170715193,21.4179363,41.9860411,
170715195,21.4182660,41.9854170,
170715199,21.4185055,41.9850527,
170715200,21.4187402,41.9847573,
170715202,21.4188282,41.9844715,
170716212,21.4258379,41.9926438,
170716214,21.4263413,41.9924084,
170716215,21.4254331,41.9921656,
170717588,21.4308022,41.9945569,
170717793,21.4317769,41.9955022,
170718149,21.4289178,41.9960571,
170718594,21.4293532,41.9966505,
170718595,21.4281051,41.9969681,
170718671,21.4274988,41.9974727,
170719127,21.4279489,41.9970624,
170719130,21.4278459,41.9966677,
170723177,21.4283048,41.9973845,
170726142,21.4369203,41.9947303,
170727988,21.4362185,41.9937370,
170727995,21.4382205,41.9988109,
170727996,21.4382118,41.9989454,
170727997,21.4381431,41.9995910,
170728763,21.4314791,41.9920233,
170728764,21.4335796,41.9927525,
170729731,21.4288707,41.9949329,
170730061,21.4304293,41.9955246,
170732510,21.4311783,41.9980229,
170732511,21.4305751,41.9988690,
170732512,21.4302894,41.9994538,
170732517,21.4283763,42.0044704,
170732518,21.4282858,42.0051622,
170732521,21.4281137,42.0056091,
170732522,21.4277061,42.0062229,
170732523,21.4272999,42.0066362,
170732524,21.4268063,42.0069889,
170732525,21.4262790,42.0072709,
170732526,21.4255779,42.0075178,
170732528,21.4247135,42.0077242,
170732529,21.4239892,42.0079800,
170732530,21.4235781,42.0081613,
170732531,21.4230358,42.0084650,
170732533,21.4223827,42.0089573,
170732536,21.4215524,42.0097080,
170732537,21.4206733,42.0105058,
170732538,21.4195685,42.0114983,
170732539,21.4191039,42.0119010,
170735353,21.4198121,41.9897145,
170735359,21.4223050,41.9914901,
170735368,21.4322630,41.9878484,
170736217,21.4167029,41.9878658,
170736218,21.4164682,41.9878031,
170736219,21.4157804,41.9878062,
170736221,21.4147433,41.9882668,
170736222,21.4131990,41.9887667,
170736223,21.4126752,41.9891485,
170736224,21.4122333,41.9895058,
170736226,21.4117612,41.9897929,
170736227,21.4113568,41.9900618,
170736229,21.4113061,41.9914067,
170737056,21.4081387,41.9934766,
170737058,21.4067262,41.9932829,
170737060,21.4059217,41.9933209,
170737064,21.4029477,41.9937238,
170738727,21.4238942,41.9922337,
